year,property_type_label,build_type,median_price,avg_price,total_sales,date
1995,Detached,Existing,85000.0,105431.82884072927,145350,1995-01-01
1995,Detached,New Build,90000.0,103085.46045522598,46087,1995-01-01
1995,Flat/Maisonette,Existing,45000.0,58255.8505189704,91142,1995-01-01
1995,Flat/Maisonette,New Build,52995.0,64391.00626216913,19003,1995-01-01
1995,Other,Existing,5610000.0,5610000.0,1,1995-01-01
1995,Semi-Detached,Existing,53000.0,60625.86038513811,217792,1995-01-01
1995,Semi-Detached,New Build,54450.0,58847.99979420481,24296,1995-01-01
1995,Terraced,Existing,42000.0,51131.56944142294,229834,1995-01-01
1995,Terraced,New Build,52375.0,59004.38033240997,18050,1995-01-01
1996,Detached,Existing,87500.0,108628.67412267829,190808,1996-01-01
1996,Detached,New Build,93950.0,107999.91596527895,53109,1996-01-01
1996,Flat/Maisonette,Existing,46499.5,61789.74408223876,113134,1996-01-01
1996,Flat/Maisonette,New Build,58995.0,78322.31521464327,19777,1996-01-01
1996,Semi-Detached,Existing,54295.0,62545.73997859377,264409,1996-01-01
1996,Semi-Detached,New Build,55950.0,61312.82787525167,24337,1996-01-01
1996,Terraced,Existing,43500.0,53330.10227305885,274168,1996-01-01
1996,Terraced,New Build,56500.0,66181.99006323397,18819,1996-01-01
1997,Detached,Existing,95000.0,119163.83657805019,214708,1997-01-01
1997,Detached,New Build,98995.0,114116.63170365825,58662,1997-01-01
1997,Flat/Maisonette,Existing,51500.0,69427.26052957257,147062,1997-01-01
1997,Flat/Maisonette,New Build,69500.0,95533.90344587193,20082,1997-01-01
1997,Other,Existing,3138475.0,3130987.5,4,1997-01-01
1997,Semi-Detached,Existing,58000.0,68220.77170941283,291878,1997-01-01
1997,Semi-Detached,New Build,58500.0,65661.90570917047,25135,1997-01-01
1997,Terraced,Existing,47000.0,59064.955110426294,311520,1997-01-01
1997,Terraced,New Build,59950.0,74360.17611018014,19096,1997-01-01
1998,Detached,Existing,103000.0,130973.24798076731,200076,1998-01-01
1998,Detached,New Build,104950.0,121799.21971741546,56691,1998-01-01
1998,Flat/Maisonette,Existing,57000.0,76077.36591764571,149039,1998-01-01
1998,Flat/Maisonette,New Build,88950.0,120260.68357870895,17660,1998-01-01
1998,Other,Existing,170000.0,170000.0,1,1998-01-01
1998,Semi-Detached,Existing,60000.0,73498.9492144189,280493,1998-01-01
