county,total_sales,median_price
AVON,16474,54000.0
BATH AND NORTH EAST SOMERSET,69409,178500.0
BEDFORD,22936,200000.0
BEDFORDSHIRE,129645,119500.0
BERKSHIRE,9250,80000.0
BLACKBURN WITH DARWEN,47919,71000.0
BLACKPOOL,66477,75000.0
BLAENAU GWENT,18123,57500.0
BOURNEMOUTH,103868,145500.0
BRACKNELL FOREST,54795,179950.0
BRIDGEND,47490,96000.0
BRIGHTON AND HOVE,129716,178000.0
BUCKINGHAMSHIRE,221133,205000.0
CAERPHILLY,54321,82950.0
CAMBRIDGESHIRE,278102,146000.0
CARDIFF,133998,125000.0
CARMARTHENSHIRE,54845,92000.0
CENTRAL BEDFORDSHIRE,41221,220000.0
CEREDIGION,20948,120000.0
CHESHIRE,201108,106000.0
CHESHIRE EAST,51686,180000.0
CHESHIRE WEST AND CHESTER,41111,169995.0
CITY OF BRISTOL,174722,144000.0
CITY OF DERBY,87024,100000.0
CITY OF KINGSTON UPON HULL,90014,64000.0
CITY OF NOTTINGHAM,86285,90500.0
CITY OF PETERBOROUGH,69999,116500.0
CITY OF PLYMOUTH,93568,120000.0
CLEVELAND,1747,43000.0
CLWYD,5146,44950.0
CONWY,46025,110000.0
CORNWALL,238995,140000.0
COUNTY DURHAM,56737,102000.0
CUMBRIA,203594,95000.0
DARLINGTON,46477,85000.0
DENBIGHSHIRE,34480,95000.0
DERBYSHIRE,309465,100000.0
DEVON,365026,147500.0
DORSET,202411,171000.0
DURHAM,133572,67950.0
DYFED,2761,42000.0
EAST RIDING OF YORKSHIRE,145802,112000.0
EAST SUSSEX,284824,145000.0
ESSEX,629047,155000.0
FLINTSHIRE,48321,109000.0
GLOUCESTERSHIRE,268752,145000.0
GREATER LONDON,2989054,215000.0
GREATER MANCHESTER,979737,93000.0
GWENT,1891,49000.0
GWYNEDD,41616,90000.0
HALTON,39577,89500.0
HAMPSHIRE,593637,170000.0
HARTLEPOOL,35617,68950.0
HEREFORD AND WORCESTER,7874,58000.0
HEREFORDSHIRE,62192,152000.0
HERTFORDSHIRE,488135,189995.0
HUMBERSIDE,14373,41500.0
ISLE OF ANGLESEY,22274,102500.0
ISLE OF WIGHT,73619,129995.0
ISLES OF SCILLY,473,230000.0
KENT,636001,153000.0
LANCASHIRE,498686,88500.0
LEICESTER,94293,97000.0
LEICESTERSHIRE,278250,125000.0
LINCOLNSHIRE,328368,108000.0
LUTON,77703,115000.0
MEDWAY,96982,132500.0
MERSEYSIDE,456711,87000.0
MERTHYR TYDFIL,16385,64500.0
MID GLAMORGAN,5652,39950.0
MIDDLESBROUGH,48781,70000.0
MILTON KEYNES,121125,139500.0
MONMOUTHSHIRE,32410,145000.0
NEATH PORT TALBOT,43537,75000.0
NEWPORT,52084,100000.0
NORFOLK,384744,125000.0
NORTH EAST LINCOLNSHIRE,63969,73000.0
NORTH LINCOLNSHIRE,59004,88000.0
NORTH SOMERSET,98384,149950.0
NORTH YORKSHIRE,254888,135000.0
NORTHAMPTONSHIRE,337173,120000.0
NORTHUMBERLAND,121524,96972.5
NOTTINGHAMSHIRE,330041,100000.0
OXFORDSHIRE,269970,187500.0
PEMBROKESHIRE,38835,117000.0
POOLE,76822,167000.0
PORTSMOUTH,90291,120000.0
POWYS,38404,118950.0
READING,71236,163650.0
REDCAR AND CLEVELAND,46367,84950.0
RHONDDA CYNON TAFF,75931,69950.0
RUTLAND,16278,165000.0
SHROPSHIRE,124183,125000.0
SLOUGH,51473,145000.0
SOMERSET,241050,138000.0
SOUTH GLAMORGAN,1769,53000.0
SOUTH GLOUCESTERSHIRE,111109,145000.0
SOUTH YORKSHIRE,451990,87000.0
SOUTHAMPTON,96370,126000.0
SOUTHEND-ON-SEA,87602,129995.0
STAFFORDSHIRE,308827,114000.0
STOCKTON-ON-TEES,75299,91000.0
STOKE-ON-TRENT,92841,65000.0
SUFFOLK,322661,130000.0
SURREY,515879,230000.0
SWANSEA,83340,92500.0
SWINDON,93069,131950.0
THAMESDOWN,8878,54000.0
THE VALE OF GLAMORGAN,50822,124950.0
THURROCK,69460,134500.0
TORBAY,72459,123500.0
TORFAEN,26731,88000.0
TYNE AND WEAR,387899,89500.0
WARRINGTON,80002,115000.0
WARWICKSHIRE,232627,138000.0
WEST BERKSHIRE,57839,212500.0
WEST GLAMORGAN,2004,39325.0
WEST MIDLANDS,855771,104250.0
WEST SUSSEX,394326,172500.0
WEST YORKSHIRE,847565,94000.0
WILTSHIRE,203922,155000.0
WINDSOR AND MAIDENHEAD,62234,249950.0
WOKINGHAM,71210,222000.0
WORCESTERSHIRE,233304,136000.0
WREKIN,57568,112000.0
WREXHAM,39048,107995.0
YORK,83829,141500.0
