county,year,median_price,total_sales,date
AVON,1995,54500.0,14740,1995-01-01
AVON,1996,52000.0,1733,1996-01-01
AVON,2009,172500.0,1,2009-01-01
BATH AND NORTH EAST SOMERSET,1995,74500.0,110,1995-01-01
BATH AND NORTH EAST SOMERSET,1996,66500.0,3216,1996-01-01
BATH AND NORTH EAST SOMERSET,1997,70000.0,3800,1997-01-01
BATH AND NORTH EAST SOMERSET,1998,78760.0,3438,1998-01-01
BATH AND NORTH EAST SOMERSET,1999,89950.0,3943,1999-01-01
BATH AND NORTH EAST SOMERSET,2000,110000.0,3096,2000-01-01
BATH AND NORTH EAST SOMERSET,2001,124500.0,3782,2001-01-01
BATH AND NORTH EAST SOMERSET,2002,149950.0,3917,2002-01-01
BATH AND NORTH EAST SOMERSET,2003,174250.0,3396,2003-01-01
BATH AND NORTH EAST SOMERSET,2004,187000.0,3478,2004-01-01
BATH AND NORTH EAST SOMERSET,2005,197000.0,3087,2005-01-01
BATH AND NORTH EAST SOMERSET,2006,210000.0,4070,2006-01-01
BATH AND NORTH EAST SOMERSET,2007,230000.0,3764,2007-01-01
BATH AND NORTH EAST SOMERSET,2008,220000.0,1896,2008-01-01
BATH AND NORTH EAST SOMERSET,2009,203750.0,2258,2009-01-01
BATH AND NORTH EAST SOMERSET,2010,236000.0,2409,2010-01-01
BATH AND NORTH EAST SOMERSET,2011,230000.0,2352,2011-01-01
BATH AND NORTH EAST SOMERSET,2012,230000.0,2526,2012-01-01
BATH AND NORTH EAST SOMERSET,2013,237500.0,2978,2013-01-01
BATH AND NORTH EAST SOMERSET,2014,249950.0,3516,2014-01-01
BATH AND NORTH EAST SOMERSET,2015,267000.0,3595,2015-01-01
BATH AND NORTH EAST SOMERSET,2016,305000.0,3585,2016-01-01
BATH AND NORTH EAST SOMERSET,2017,312500.0,1197,2017-01-01
BEDFORD,1995,65000.0,29,1995-01-01
BEDFORD,1996,62250.0,46,1996-01-01
BEDFORD,1997,80000.0,39,1997-01-01
BEDFORD,1998,77000.0,53,1998-01-01
BEDFORD,1999,81747.5,68,1999-01-01
BEDFORD,2000,89111.0,90,2000-01-01
BEDFORD,2001,94450.0,94,2001-01-01
BEDFORD,2002,116000.0,76,2002-01-01
BEDFORD,2003,134500.0,114,2003-01-01
BEDFORD,2004,126000.0,169,2004-01-01
BEDFORD,2005,149997.5,66,2005-01-01
BEDFORD,2006,158250.0,106,2006-01-01
BEDFORD,2007,180000.0,83,2007-01-01
BEDFORD,2008,202500.0,64,2008-01-01
BEDFORD,2009,170000.0,1581,2009-01-01
BEDFORD,2010,183000.0,2139,2010-01-01
BEDFORD,2011,179000.0,2143,2011-01-01
BEDFORD,2012,183250.0,2110,2012-01-01
BEDFORD,2013,187000.0,2646,2013-01-01
BEDFORD,2014,203500.0,3214,2014-01-01
BEDFORD,2015,225000.0,3378,2015-01-01
BEDFORD,2016,241000.0,3437,2016-01-01
BEDFORD,2017,255000.0,1191,2017-01-01
BEDFORDSHIRE,1995,56450.0,6980,1995-01-01
BEDFORDSHIRE,1996,57995.0,8268,1996-01-01
BEDFORDSHIRE,1997,62950.0,9573,1997-01-01
BEDFORDSHIRE,1998,69500.0,9170,1998-01-01
BEDFORDSHIRE,1999,76500.0,10599,1999-01-01
BEDFORDSHIRE,2000,88950.0,9211,2000-01-01
BEDFORDSHIRE,2001,100000.0,10440,2001-01-01
BEDFORDSHIRE,2002,124995.0,11216,2002-01-01
BEDFORDSHIRE,2003,144995.0,9710,2003-01-01
BEDFORDSHIRE,2004,159000.0,10105,2004-01-01
BEDFORDSHIRE,2005,165000.0,8358,2005-01-01
BEDFORDSHIRE,2006,175000.0,10727,2006-01-01
BEDFORDSHIRE,2007,186000.0,9814,2007-01-01
BEDFORDSHIRE,2008,185000.0,4757,2008-01-01
